name,address,biz_type
Calmeca Academy of Fine Arts and Dual Language,3456 West 38th Street,school
Columbia Explorers Academy,4520 South Kedzie Avenue,school
Curie Metropolitan High School,4959 South Archer Avenue,school
Davis School Annex,3050 West 39th Place,school
Eberhart Elementary School,3400 West 65th Place,school
Edwards Elementary School,4815 South Karlov Avenue,school
Eric Solorio Academy High School,5400 South Saint Louis Avenue,school
Franciscan Sisters School,,school
Gunsaulus Scholastic Academy,4420 South Sacramento Avenue,school
Holy Martyrs School,,school
Hubbard High School,6200 South Hamlin Avenue,school
Irene C. Hernandez Middle School,3510 West 55th Street,school
Jovita Idár Elementary,5050 South Homan Avenue,school
Kelly High School,4136 South California Avenue,school
Lee Elementary School,6448 South Tripp Avenue,school
Magic Mirror Learning Center,,school
Mansueto High School,2911 West 47th Street,school
Marquette Elementary School,6550 South Richmond Street,school
Monarcas Academy,5815 South Homan Avenue,school
Nathan S. Davis Elementary School,3014 West 39th Place,school
Nazareth School,,school
Pasteur Elementary School,5825 South Kostner Avenue,school
Pathways in Education,3124 West 47th Street,school
Peck Elementary School,3826 West 58th Street,school
Richardson Middle School,6018 South Karlov Avenue,school
Saint Bruno School,,school
Saint Gall School,,school
Saint Mary School,,school
Saint Nicolas School,,school
Saint Richard School,,school
Saint Turibius School,,school
Sawyer Elementary School,5247 South Sawyer Avenue,school
Socorro Sandoval Elementary School,5534 South Saint Louis Avenue,school
Sor Juana Elementary School,4034 West 56th Street,school
Teddy Bear Pre-School #3,,school
CTA Kedzie Substation,4838 South Kedzie Avenue,service
CTA Keeler Substation,5159 South Keeler Avenue,service
Foot Locker,4721 South Kedzie Avenue,shoes
Shoe Carnival,4150 South Pulaski Road,shoes
Greater Chicago Food Depository,4100 West Ann Lurie Place,social_facility
USO,,social_facility
Public Storage,4220 West 47th Street,storage_rental
Aldi,4934 South Kedzie Avenue,supermarket
Cermak Fresh Market,5220 South Pulaski Road,supermarket
Jewel-Osco,5320 South Pulaski Road,supermarket
Pete's Market,4700 South Kedzie Avenue,supermarket
H&R Block,,tax_advisor
Liberty Tax,5622 South Pulaski Road,tax_advisor
MD Income Tax & Services,4846 South Pulaski Road,tax_advisor
Taxes On The Go,5102 South Archer Avenue,tax_advisor
Tobacco 5 Stars,,tobacco
FAO Schwartz,,toys
Midway CTA Station,4612 West 59th Street,train_station
Pulaski CTA Station,4017-4021 West 51st Street,train_station
CTA Midway Yard Tower,,transportation
Archer Premier Tire Shop,4825 South Archer Avenue,tyres
Dollar Tree,5101 South Cicero Avenue,variety_store
Dollar Tree,5119 South Pulaski Road,variety_store
Dollar Tree,4756 South Kedzie Avenue,variety_store
Dollar Tree,4315 South Archer Avenue,variety_store
Family Dollar,4936 South Kedzie Avenue,variety_store
Inspection Pit,,vehicle_inspection
Ventra,,vending_machine
GameStop,5835 South Kedzie Avenue,video_games
GameStop,5143 South Pulaski Road,video_games
Amazon DIL3,3507 West 51st Street,warehouse
Altrid Beauty Salon,,yes
BNSF Yard Tower,,yes
BP,4710 West 63rd Street,yes
BP,,yes
Booting Payment Center,South Kilpatrick Avenue,yes
CTA Midway Shop,5601 South Kilpatrick Avenue,yes
Car Inspector Office,,yes
Citgo,5106-5114 South Pulaski Road,yes
Citgo,,yes
Coach House,4424,yes
Collision Revision,3518 West 63rd Street,yes
Commercial Vehicle Holding Building,4625 West 55th Place,yes
Creative Kids,,yes
Guard Post,,yes
Heating and Refridgeration Plant,,yes
Hertz,5259 South Archer Avenue,yes
La Gloria,5044-5050 South Archer Avenue,yes
Le Paris Bakery,4450 South Kedzie Avenue,yes
Los Amantes Banquet Hall,4753 West 47th Street,yes
Los Pequenos Angelitos Day Care,3711 West 55th Street,yes
Midway Inn,5335 South Pulaski Road,yes
Mobil,4629 South Cicero Avenue,yes
Mobil Mart,4629 South Cicero Avenue,yes
Muandachareo,,yes
Regal Beagle,,yes
Shell,4900-4906 South Cicero Avenue,yes
Shell,4647 South Pulaski Road,yes
Skylark Motel,5435 South Archer Avenue,yes
Strohacker Park Fieldhouse,4347 West 54th Street,yes
The Apartment Lounge,3806 West 47th Street,yes
